formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Mg(FeO$_{2}$)$_{2}$,1.8012000000000001,eV,,,,,,,
Pr(CoO$_{3}$)$_{2}$,0,eV,,,,,,,
FeO$_{2}$,0,eV,,,,,,,
Ba$_{2}$YFe$_{3}$O$_{8}$,0.21150000000000002,eV,,,,,,,
Al$_{4}$(BiS$_{4}$)$_{3}$,0.34450000000000003,eV,,,,,,,
ZnWO$_{2}$,0,eV,,,,,,,
V$_{4}$Zn(PO$_{4}$)$_{6}$,1.3616000000000001,eV,,,,,,,
Y$_{2}$Cr$_{3}$O$_{12}$,2.1334,eV,,,,,,,
Ca$_{2}$FeWO$_{6}$,2.2384000000000004,eV,,,,,,,
V$_{6}$Zn(FeO$_{6}$)$_{4}$,0,eV,,,,,,,
Sb$_{5}$S$_{3}$O$_{5}$,0,eV,,,,,,,
Ba$_{2}$CaCr$_{2}$CuF$_{14}$,2.2832999999999997,eV,,,,,,,
Ba$_{2}$YMn$_{3}$O$_{7}$,0.22999999999999954,eV,,,,,,,
TiO$_{2}$,2.4513000000000003,eV,,,,,,,
Ba$_{2}$YCo$_{3}$O$_{7}$,0.10379999999999967,eV,,,,,,,
Mg(TiS$_{2}$)$_{4}$,0.0034000000000000696,eV,,,,,,,
Zn(FeS$_{2}$)$_{4}$,0.008900000000000574,eV,,,,,,,
Ba$_{2}$Mn$_{3}$AlO$_{7}$,0.08079999999999998,eV,,,,,,,
Mn$_{4}$ZnS$_{8}$,0,eV,,,,,,,
Mg(NiS$_{2}$)$_{4}$,0,eV,,,,,,,
Mg(FeS$_{2}$)$_{4}$,0.006700000000000372,eV,,,,,,,
Ca(MnS$_{2}$)$_{2}$,0.023100000000000342,eV,,,,,,,
Ba$_{2}$YCr$_{3}$O$_{7}$,0.21509999999999962,eV,,,,,,,
Mg(MnS$_{2}$)$_{2}$,0.001000000000000334,eV,,,,,,,
ZnNi$_{2}$S$_{5}$,0.011499999999999844,eV,,,,,,,
AlSn$_{3}$Se$_{2}$ClO$_{8}$,0.11050000000000004,eV,,,,,,,
Mg(FeS$_{2}$)$_{2}$,0,eV,,,,,,,
Mn$_{2}$ZnS$_{5}$,0.009700000000000042,eV,,,,,,,
Y$_{2}$Ti$_{2}$O$_{7}$,2.812,eV,,,,,,,
Ba$_{2}$AlCr$_{3}$O$_{7}$,0.051599999999999646,eV,,,,,,,
BaAlV$_{4}$O$_{7}$,0.04980000000000029,eV,,,,,,,
ZnCuO$_{2}$,0,eV,,,,,,,
Ba$_{2}$AlV$_{3}$O$_{7}$,0.08220000000000027,eV,,,,,,,
CaCoP$_{2}$O$_{7}$,2.9989,eV,,,,,,,
Cu$_{3}$(SnO$_{3}$)$_{4}$,0.7143999999999995,eV,,,,,,,
FeP$_{2}$O$_{7}$,0.3577,eV,,,,,,,
CaCu$_{2}$F$_{8}$,1.1354,eV,,,,,,,
CaMnP$_{2}$O$_{7}$,4.329,eV,,,,,,,
Ba$_{2}$Cu$_{2}$HgO$_{6}$,0.22669999999999968,eV,,,,,,,
Ca$_{3}$Bi$_{2}$(AsO$_{6}$)$_{2}$,0.18200000000000016,eV,,,,,,,
Ca$_{5}$Cu$_{2}$(RhO$_{6}$)$_{2}$,0.005199999999999871,eV,,,,,,,
Ba$_{2}$YV$_{3}$O$_{7}$,0.0030999999999998806,eV,,,,,,,
Ca$_{11}$(MnN$_{5}$)$_{2}$,5.00000000000167E-4,eV,,,,,,,
Ba$_{2}$CaTl$_{2}$(CuO$_{3}$)$_{4}$,0.7256,eV,,,,,,,
BaAlFe$_{4}$O$_{7}$,0,eV,,,,,,,
Ca$_{3}$Cu$_{6}$(AsO$_{4}$)$_{8}$,0.059799999999999964,eV,,,,,,,
BaAlCo$_{4}$O$_{7}$,0,eV,,,,,,,
CaTi$_{4}$(CuO$_{4}$)$_{3}$,0.022499999999999964,eV,,,,,,,
BaYMn$_{4}$O$_{7}$,0.051300000000000345,eV,,,,,,,
BaYNi$_{4}$O$_{7}$,2.999999999997449E-4,eV,,,,,,,
CaTi$_{2}$O$_{4}$,0,eV,,,,,,,
BaYCr$_{4}$O$_{7}$,0.1852999999999998,eV,,,,,,,
Ca$_{3}$Fe$_{2}$(WO$_{6}$)$_{2}$,2.1658,eV,,,,,,,
CrO$_{2}$,0,eV,,,,,,,
VO$_{2}$,0.3847999999999998,eV,,,,,,,
CoO$_{2}$,1.3681999999999999,eV,,,,,,,
P$_{2}$WO$_{7}$,2.8529,eV,,,,,,,
VO$_{2}$,0.45979999999999993,eV,,,,,,,
FeO$_{2}$,0,eV,,,,,,,
Ca$_{5}$Mn$_{2}$(NiO$_{6}$)$_{2}$,0.023600000000000065,eV,,,,,,,
CaLa$_{2}$Ti$_{2}$Cr$_{2}$O$_{12}$,0.5655000000000001,eV,,,,,,,
CaFeReO$_{6}$,1.2039,eV,,,,,,,
Mg$_{3}$V$_{2}$(BiO$_{6}$)$_{2}$,0,eV,,,,,,,
Si$_{2}$NiO$_{6}$,0.013599999999999834,eV,,,,,,,
Ca$_{5}$Sc$_{2}$(CoO$_{6}$)$_{2}$,1.3089,eV,,,,,,,
AlFe$_{3}$F$_{15}$,0.3738999999999999,eV,,,,,,,
Ca$_{2}$CoRhO$_{6}$,0.3287,eV,,,,,,,
CaNiP$_{2}$O$_{7}$,4.0649999999999995,eV,,,,,,,
Ca$_{3}$Mn$_{2}$(FeO$_{5}$)$_{2}$,0.06600000000000006,eV,,,,,,,
Cu$_{2}$SnSe$_{4}$,0,eV,,,,,,,
CrO$_{3}$,1.4176,eV,,,,,,,
Ca$_{3}$Cr$_{2}$(SiO$_{4}$)$_{3}$,3.3122000000000003,eV,,,,,,,
BaAlNi$_{4}$O$_{7}$,0,eV,,,,,,,
Cu$_{2}$GeSe$_{4}$,0,eV,,,,,,,
Al$_{4}$(FeO$_{4}$)$_{3}$,0.05249999999999977,eV,,,,,,,
YCoO$_{3}$,1.4289999999999998,eV,,,,,,,
Zn$_{3}$Cu$_{2}$(AsO$_{4}$)$_{4}$,0.5052,eV,,,,,,,
HoV$_{2}$O$_{6}$,0.9714,eV,,,,,,,
BaCr$_{4}$O$_{7}$,0.8576000000000001,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,1.8397999999999994,eV,,,,,,,
Mn$_{3}$AlF$_{15}$,0.20899999999999963,eV,,,,,,,
CaVO$_{3}$,0.2903000000000002,eV,,,,,,,
BaYV$_{4}$O$_{7}$,2.0000000000042206E-4,eV,,,,,,,
Ba$_{6}$YTl$_{3}$(Cu$_{2}$O$_{7}$)$_{3}$,0,eV,,,,,,,
Cr(SiO$_{3}$)$_{2}$,0.02220000000000022,eV,,,,,,,
CaMn$_{4}$(SiO$_{3}$)$_{5}$,3.2252,eV,,,,,,,
Ba$_{4}$CaFe$_{4}$Cu$_{2}$F$_{28}$,2.4964,eV,,,,,,,
Ba$_{4}$CaV$_{4}$Cu$_{2}$F$_{28}$,0.485,eV,,,,,,,
Ta$_{2}$MnZnO$_{8}$,1.1542000000000001,eV,,,,,,,
CaCr(Si$_{2}$O$_{5}$)$_{2}$,3.6206,eV,,,,,,,
CaVBiO$_{5}$,3.2961,eV,,,,,,,
CrSe$_{2}$,0.0018000000000002458,eV,,,,,,,
FeO$_{2}$,0.007800000000000029,eV,,,,,,,
CaV$_{2}$CuO$_{7}$,0.5797,eV,,,,,,,
ZnCoP$_{2}$O$_{7}$,3.0214,eV,,,,,,,
MgV$_{2}$O$_{5}$,2.3266,eV,,,,,,,
Ba$_{2}$Mg$_{3}$Tl$_{2}$(NiO$_{3}$)$_{4}$,0,eV,,,,,,,
CoO$_{2}$,0.4857,eV,,,,,,,
CrP$_{2}$O$_{7}$,0.03970000000000007,eV,,,,,,,
Al$_{5}$Si$_{6}$Cu$_{3}$(O$_{7}$F$_{2}$)$_{3}$,0.19599999999999973,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0,eV,,,,,,,
CaV$_{4}$(CuO$_{4}$)$_{3}$,0.005700000000000038,eV,,,,,,,
YMn$_{4}$(CuO$_{4}$)$_{3}$,0.0976000000000008,eV,,,,,,,
V$_{4}$ZnO$_{8}$,0.0674999999999999,eV,,,,,,,
CaTi$_{4}$O$_{8}$,0,eV,,,,,,,
CaV$_{2}$P$_{2}$O$_{9}$,1.5080000000000005,eV,,,,,,,
VO$_{2}$,1.1606,eV,,,,,,,
YMn$_{2}$O$_{5}$,1.2291999999999996,eV,,,,,,,
FeSiO$_{4}$,1.5202999999999998,eV,,,,,,,
BaYFe$_{4}$O$_{7}$,1.3625000000000003,eV,,,,,,,
Nb$_{2}$(CoO$_{3}$)$_{3}$,0.0,eV,,,,,,,
CaCo$_{3}$(P$_{2}$O$_{7}$)$_{2}$,2.8718000000000004,eV,,,,,,,
FeO$_{2}$,0.030100000000000016,eV,,,,,,,
TiF$_{4}$,4.3349,eV,,,,,,,
YMn$_{3}$Se$_{2}$ClO$_{8}$,1.9562999999999997,eV,,,,,,,
Ba$_{2}$Cr$_{2}$CuF$_{14}$,0.4193,eV,,,,,,,
SnO$_{2}$,0.7893,eV,,,,,,,
La$_{2}$MgSbO$_{6}$,0,eV,,,,,,,
Ba$_{2}$AlW$_{3}$O$_{7}$,0.06509999999999927,eV,,,,,,,
Ca$_{5}$La$_{10}$Mn$_{14}$(NiO$_{24}$)$_{2}$,0,eV,,,,,,,
Y$_{4}$V$_{6}$O$_{21}$,0.009300000000000086,eV,,,,,,,
BaYW$_{4}$O$_{7}$,0,eV,,,,,,,
BaFe$_{4}$O$_{7}$,1.7416999999999998,eV,,,,,,,
BaAlW$_{4}$O$_{7}$,0.0719000000000003,eV,,,,,,,
Mg$_{2}$Nb$_{2}$BiO$_{8}$,0,eV,,,,,,,
Mg$_{2}$TaNb$_{2}$O$_{8}$,0.1830999999999996,eV,,,,,,,
MgSnO$_{2}$,0.8988000000000005,eV,,,,,,,
Ba$_{2}$YNi$_{3}$O$_{7}$,0.47029999999999994,eV,,,,,,,
Sr$_{2}$YSn$_{2}$O$_{7}$,0,eV,,,,,,,
VN,0,eV,,,,,,,
Sr$_{3}$Cr$_{2}$Cu$_{2}$S$_{2}$O$_{5}$,0.6841999999999997,eV,,,,,,,
Y$_{2}$MgMn$_{2}$S$_{2}$O$_{5}$,0.06330000000000036,eV,,,,,,,
BaMn$_{4}$AlO$_{7}$,0,eV,,,,,,,
Ba$_{2}$AlTlNi$_{2}$O$_{7}$,1.472,eV,,,,,,,
Ba$_{2}$TlMo$_{2}$O$_{7}$,0.20029999999999948,eV,,,,,,,
Ba$_{2}$AlTlCr$_{2}$O$_{7}$,0.2599,eV,,,,,,,
Ba$_{2}$Mn$_{2}$TlO$_{7}$,0.5335000000000001,eV,,,,,,,
Ba$_{2}$YMn$_{2}$TlO$_{7}$,0,eV,,,,,,,
Ba$_{2}$Mn$_{2}$AlTlO$_{7}$,0.08679999999999932,eV,,,,,,,
Mg$_{2}$Nb$_{2}$FeO$_{8}$,2.4585,eV,,,,,,,
BaV$_{4}$O$_{7}$,1.1461000000000001,eV,,,,,,,
Sr$_{2}$YCr$_{2}$O$_{7}$,0,eV,,,,,,,
Sr$_{2}$YW$_{2}$O$_{7}$,0.05209999999999981,eV,,,,,,,
Sr$_{2}$Y$_{2}$Mn$_{2}$O$_{7}$,0,eV,,,,,,,
Sr$_{2}$Y$_{2}$Ni$_{2}$O$_{7}$,0.383,eV,,,,,,,
Ca$_{3}$Cr$_{2}$(GeO$_{4}$)$_{3}$,3.1471999999999998,eV,,,,,,,
Sr$_{2}$AlGaFe$_{2}$O$_{7}$,1.7402000000000002,eV,,,,,,,
Sr$_{9}$Zn$_{2}$(CuO$_{7}$)$_{2}$,0.14610000000000012,eV,,,,,,,
V$_{3}$O$_{7}$,1.4381,eV,,,,,,,
Mn$_{2}$Nb$_{4}$Zn$_{3}$O$_{16}$,0.9178000000000002,eV,,,,,,,
Ca(Fe$_{9}$O$_{13}$)$_{2}$,0.8056999999999999,eV,,,,,,,
YCr$_{2}$O$_{4}$,0,eV,,,,,,,
Ba$_{2}$YW$_{3}$O$_{7}$,0.9260000000000002,eV,,,,,,,
Al$_{5}$(NiO$_{4}$)$_{3}$,0,eV,,,,,,,
Ca$_{3}$Co$_{2}$(WO$_{6}$)$_{2}$,0.9855999999999998,eV,,,,,,,
Al$_{5}$(CoO$_{4}$)$_{3}$,0.25129999999999963,eV,,,,,,,
BaMn$_{4}$O$_{7}$,0,eV,,,,,,,
Cu$_{2}$GeS$_{4}$,0,eV,,,,,,,
CaV$_{4}$O$_{9}$,2.482,eV,,,,,,,
YCr$_{3}$Se$_{2}$ClO$_{8}$,1.9324000000000003,eV,,,,,,,
Ca(MoO$_{3}$)$_{2}$,0,eV,,,,,,,
CaCr$_{2}$O$_{6}$,0.016000000000000014,eV,,,,,,,
Ca(FeS$_{2}$)$_{4}$,0.9108999999999998,eV,,,,,,,
CaCrP$_{2}$O$_{7}$,2.4860999999999995,eV,,,,,,,
TiO$_{2}$,0,eV,,,,,,,
ZnFe$_{2}$S$_{5}$,0.0049000000000001265,eV,,,,,,,
Ba$_{2}$AlNi$_{3}$O$_{7}$,0.03829999999999956,eV,,,,,,,
CaLa$_{2}$SnO$_{6}$,3.9985999999999997,eV,,,,,,,
Ca(TiN)$_{2}$,0.006800000000000139,eV,,,,,,,
Ca(SnN)$_{2}$,0.25839999999999996,eV,,,,,,,
CaLa$_{2}$FeO$_{6}$,1.6632999999999996,eV,,,,,,,
La$_{2}$ZnFeO$_{6}$,0,eV,,,,,,,
CaLa$_{2}$CrO$_{6}$,0,eV,,,,,,,
Mg$_{2}$CrSbO$_{6}$,2.4273999999999996,eV,,,,,,,
MnZn$_{2}$SbO$_{6}$,0.7836000000000003,eV,,,,,,,
Mg$_{2}$V$_{3}$O$_{8}$,0.026900000000000368,eV,,,,,,,
Ca(CuN)$_{2}$,0.025799999999999823,eV,,,,,,,
MgCoO$_{2}$,1.5467000000000004,eV,,,,,,,
Mg(CrN)$_{2}$,0.010200000000000209,eV,,,,,,,
Mg$_{2}$NiN$_{2}$,0,eV,,,,,,,
ZnSnO$_{3}$,1.9182999999999995,eV,,,,,,,
Cu$_{2}$S,0.19420000000000037,eV,,,,,,,
Mg(MnN)$_{2}$,0.03440000000000065,eV,,,,,,,
Mg(VN)$_{2}$,0.009999999999999787,eV,,,,,,,
MoN$_{2}$,0.048199999999999577,eV,,,,,,,
CrN$_{2}$,0.0334999999999992,eV,,,,,,,
BaNi$_{4}$O$_{7}$,1.1139,eV,,,,,,,
MgBiF$_{6}$,0.05459999999999998,eV,,,,,,,
CaBiF$_{6}$,0.07800000000000007,eV,,,,,,,
Ca(VN)$_{2}$,0.012900000000000134,eV,,,,,,,
BaAlCr$_{4}$O$_{7}$,0.05030000000000001,eV,,,,,,,
Bi$_{2}$O$_{5}$,0.1613,eV,,,,,,,
BiF$_{5}$,0.052200000000000024,eV,,,,,,,
AlCuF$_{5}$,0.019299999999999984,eV,,,,,,,
BaW$_{4}$O$_{7}$,0,eV,,,,,,,
Ti$_{2}$Al$_{2}$O$_{7}$,0.5983,eV,,,,,,,
MoF$_{4}$,2.7902,eV,,,,,,,
AlCoO$_{3}$,0.02519999999999989,eV,,,,,,,
AlFeO$_{3}$,0.7847,eV,,,,,,,
MoO$_{3}$,0,eV,,,,,,,
MgMo$_{3}$O$_{8}$,0.9154,eV,,,,,,,
CrF$_{4}$,1.5511,eV,,,,,,,
Ba$_{2}$Fe$_{3}$O$_{7}$,0,eV,,,,,,,
Nb$_{2}$ReO$_{8}$,0.02729999999999988,eV,,,,,,,
Ba$_{2}$Co$_{3}$O$_{7}$,0,eV,,,,,,,
CrS$_{2}$,0.17430000000000012,eV,,,,,,,
FeS$_{2}$,0,eV,,,,,,,
Mg(MnS$_{2}$)$_{4}$,0,eV,,,,,,,
Ca(VS$_{2}$)$_{4}$,0,eV,,,,,,,
Ca(VS$_{2}$)$_{2}$,0.3763000000000005,eV,,,,,,,
Ba$_{2}$AlFe$_{3}$O$_{7}$,0.34330000000000016,eV,,,,,,,
La$_{2}$ZnSbO$_{6}$,0.015700000000000713,eV,,,,,,,
Mn$_{2}$Be$_{3}$(SiO$_{4}$)$_{3}$,0.24119999999999964,eV,,,,,,,
Mg$_{2}$V$_{2}$(SiO$_{4}$)$_{3}$,1.7748000000000004,eV,,,,,,,
Al$_{2}$Fe$_{3}$(PO$_{5}$)$_{3}$,1.4291,eV,,,,,,,
La$_{2}$MgSnO$_{6}$,4.092899999999999,eV,,,,,,,
YCu$_{3}$(WO$_{4}$)$_{6}$,0.04499999999999993,eV,,,,,,,
Ba$_{3}$Y$_{5}$(CoO$_{5}$)$_{3}$,0.9337,eV,,,,,,,
YV$_{3}$O$_{9}$,1.5385000000000002,eV,,,,,,,
MgFe$_{2}$(SiO$_{3}$)$_{4}$,2.4041,eV,,,,,,,
YBiO$_{3}$,0,eV,,,,,,,
CaFeP$_{2}$O$_{7}$,4.1524,eV,,,,,,,
AlBiSe$_{4}$,0.013499999999999623,eV,,,,,,,
BaMo$_{4}$O$_{7}$,0.11430000000000007,eV,,,,,,,
La$_{2}$ZnBiO$_{6}$,0.02320000000000011,eV,,,,,,,
CaLa$_{2}$TiO$_{6}$,3.2128999999999994,eV,,,,,,,
Ba$_{2}$W$_{3}$O$_{7}$,0.058499999999999996,eV,,,,,,,
Ba$_{2}$V$_{3}$O$_{7}$,0,eV,,,,,,,
VF$_{4}$,2.209,eV,,,,,,,
MgSbO$_{3}$,0.7576,eV,,,,,,,
Mg$_{2}$CuSbO$_{6}$,0.2840999999999996,eV,,,,,,,
Mg(FeN)$_{2}$,0.009000000000000341,eV,,,,,,,
TiZnO$_{2}$,0.006099999999999994,eV,,,,,,,
Mn(ZnN)$_{2}$,0.0018000000000002458,eV,,,,,,,
MgSnO$_{2}$,0.6333000000000002,eV,,,,,,,
La$_{2}$VZnO$_{6}$,1.6867999999999999,eV,,,,,,,
MoO$_{2}$,1.0932,eV,,,,,,,
CaV$_{2}$O$_{5}$,1.9002999999999997,eV,,,,,,,
La$_{2}$ZnCrO$_{6}$,0,eV,,,,,,,
La$_{2}$MnZnO$_{6}$,1.5884,eV,,,,,,,
La$_{2}$MgCrO$_{6}$,0,eV,,,,,,,
YVO$_{3}$,0,eV,,,,,,,
La$_{2}$MgFeO$_{6}$,1.3979999999999997,eV,,,,,,,
La$_{2}$MoO$_{6}$,2.7963999999999993,eV,,,,,,,
NiO$_{2}$,0.04549999999999965,eV,,,,,,,
Zn$_{2}$FeSbO$_{6}$,1.7726000000000002,eV,,,,,,,
VZn$_{2}$SbO$_{6}$,1.2046000000000001,eV,,,,,,,
Zn$_{2}$SbMoO$_{6}$,0,eV,,,,,,,
Cr$_{3}$O$_{8}$,0.0076999999999999985,eV,,,,,,,
Ca$_{2}$CuN$_{2}$,0.18579999999999997,eV,,,,,,,
Mg$_{2}$Fe$_{3}$O$_{8}$,0.5924,eV,,,,,,,
Ba$_{2}$Ni$_{3}$O$_{8}$,0,eV,,,,,,,
BiN,0.8056999999999999,eV,,,,,,,
Ca(MnN)$_{2}$,0.05169999999999941,eV,,,,,,,
Zn$_{2}$WN$_{2}$,0,eV,,,,,,,
ZnFeO$_{2}$,0.8779999999999999,eV,,,,,,,
ZnCrO$_{2}$,0.2012999999999998,eV,,,,,,,
VS$_{2}$,0,eV,,,,,,,
Mg(NiN)$_{2}$,0.013500000000000512,eV,,,,,,,
Zn(CoN)$_{2}$,0.012900000000000134,eV,,,,,,,
Mg(SnN)$_{2}$,0.26229999999999976,eV,,,,,,,
TeN$_{2}$,0.1155999999999997,eV,,,,,,,
Zn$_{2}$FeN$_{2}$,5.00000000000167E-4,eV,,,,,,,
Ba$_{2}$Mn$_{3}$O$_{7}$,0,eV,,,,,,,
CaNiO$_{2}$,2.4575,eV,,,,,,,
Ba$_{2}$Mo$_{3}$O$_{7}$,0,eV,,,,,,,
Ca$_{2}$WN$_{2}$,0.00790000000000024,eV,,,,,,,
CaCrO$_{2}$,0.8201,eV,,,,,,,
CaCoO$_{2}$,1.4913000000000003,eV,,,,,,,
Ba$_{2}$Ca$_{3}$Mn$_{4}$Tl$_{2}$O$_{12}$,0,eV,,,,,,,
MnN,0,eV,,,,,,,
Mg$_{2}$FeSbO$_{6}$,1.9207,eV,,,,,,,
TaF$_{5}$,3.4232000000000005,eV,,,,,,,
CuN,0,eV,,,,,,,
Ca(WN)$_{2}$,0.0015999999999998238,eV,,,,,,,
YAgO$_{3}$,0.05819999999999981,eV,,,,,,,
Sb$_{2}$O$_{5}$,0.7308999999999997,eV,,,,,,,
MgP$_{2}$WO$_{7}$,1.4063999999999997,eV,,,,,,,
TiN,0,eV,,,,,,,
TiAlF$_{5}$,0.18579999999999952,eV,,,,,,,
Zn(FeN)$_{2}$,0,eV,,,,,,,
Mg$_{2}$Bi$_{3}$O$_{8}$,0.022800000000000153,eV,,,,,,,
Ta$_{2}$O$_{5}$,2.96,eV,,,,,,,
Ba$_{2}$Tl$_{2}$Zn$_{3}$(FeO$_{3}$)$_{4}$,0,eV,,,,,,,
YCuO$_{3}$,0.18450000000000077,eV,,,,,,,
AlSnF$_{5}$,3.8613999999999997,eV,,,,,,,
Zn(NiN)$_{2}$,0.0813000000000006,eV,,,,,,,
Ba$_{2}$Cr$_{3}$O$_{7}$,0,eV,,,,,,,
SnN,0,eV,,,,,,,
CaBiF$_{5}$,3.9935,eV,,,,,,,
CoN,0.08650000000000002,eV,,,,,,,
FeN,0.021099999999999675,eV,,,,,,,
MgMoF$_{6}$,2.4387,eV,,,,,,,
CoF$_{4}$,1.6598999999999995,eV,,,,,,,
Ca$_{2}$Sb$_{3}$O$_{8}$,1.0169000000000006,eV,,,,,,,
SbF$_{5}$,0.6609,eV,,,,,,,
FeF$_{4}$,1.6229,eV,,,,,,,
TiAlO$_{3}$,0,eV,,,,,,,
YSnO$_{3}$,0.016899999999999693,eV,,,,,,,
AlBiO$_{3}$,0.7367999999999997,eV,,,,,,,
AlVF$_{5}$,3.3043,eV,,,,,,,
SnF$_{4}$,2.4568000000000003,eV,,,,,,,
WO$_{3}$,0,eV,,,,,,,
Mn$_{2}$Al$_{2}$O$_{7}$,1.4741,eV,,,,,,,
YTiO$_{3}$,0,eV,,,,,,,
AlCrO$_{3}$,0,eV,,,,,,,
AlVO$_{3}$,5.999999999994898E-4,eV,,,,,,,
CrO$_{3}$,0,eV,,,,,,,
Zn$_{2}$Sb$_{3}$O$_{8}$,0.07359999999999989,eV,,,,,,,
AlMoO$_{3}$,0,eV,,,,,,,
Zn$_{2}$Sn$_{3}$O$_{8}$,1.7840000000000003,eV,,,,,,,
Mg$_{3}$Sb$_{2}$O$_{7}$,0.21440000000000037,eV,,,,,,,
Zn$_{2}$Co$_{3}$O$_{8}$,0.26449999999999996,eV,,,,,,,
Zn$_{2}$Cr$_{3}$O$_{8}$,0.1400999999999999,eV,,,,,,,
YNi$_{3}$Se$_{2}$ClO$_{8}$,2.4215000000000004,eV,,,,,,,
MgCrF$_{5}$,2.9398,eV,,,,,,,
Sr$_{2}$CoCuSO$_{3}$,0.02629999999999999,eV,,,,,,,
ZnFeSiO$_{5}$,0.4413,eV,,,,,,,
Ca$_{2}$Fe$_{3}$O$_{8}$,0.19720000000000004,eV,,,,,,,
AlNiO$_{3}$,0.02740000000000009,eV,,,,,,,
Y$_{2}$Cr$_{2}$O$_{7}$,0.008300000000000196,eV,,,,,,,
Y$_{2}$Co$_{2}$O$_{7}$,0.024699999999999722,eV,,,,,,,
MnS$_{2}$,0.0034999999999998366,eV,,,,,,,
Mg(VS$_{2}$)$_{2}$,0.039400000000000546,eV,,,,,,,
CaTi$_{2}$S$_{5}$,1.2148000000000003,eV,,,,,,,
MgCr$_{2}$S$_{5}$,0.00749999999999984,eV,,,,,,,
Ca(FeS$_{2}$)$_{2}$,0.12329999999999952,eV,,,,,,,
Al$_{5}$(CuO$_{4}$)$_{3}$,0.007000000000000561,eV,,,,,,,
Al$_{2}$(CuS$_{2}$)$_{3}$,0,eV,,,,,,,
Ca$_{5}$(MnN$_{3}$)$_{2}$,0,eV,,,,,,,
Cu$_{3}$(GeO$_{3}$)$_{4}$,1.2117000000000004,eV,,,,,,,
Ba$_{2}$Tl$_{2}$Zn$_{3}$Cr$_{4}$O$_{12}$,0.042999999999999705,eV,,,,,,,
Sr$_{8}$CaRe$_{3}$(CuO$_{6}$)$_{4}$,1.0000000000065512E-4,eV,,,,,,,
CaVBiO$_{6}$,0.5953999999999999,eV,,,,,,,
Al$_{4}$(CoO$_{4}$)$_{3}$,0.038000000000000256,eV,,,,,,,
Al$_{5}$(FeO$_{4}$)$_{3}$,2.0271999999999997,eV,,,,,,,
MgVBiO$_{6}$,0.028499999999999998,eV,,,,,,,
Al$_{4}$(CoO$_{4}$)$_{3}$,0.035499999999999865,eV,,,,,,,
CaNi$_{2}$(P$_{2}$O$_{7}$)$_{2}$,0.05469999999999997,eV,,,,,,,
Al$_{2}$(FeO$_{3}$)$_{3}$,0.24160000000000004,eV,,,,,,,
CaCr$_{2}$(Si$_{2}$O$_{5}$)$_{4}$,1.4225000000000003,eV,,,,,,,
CoO$_{2}$,0.5127,eV,,,,,,,
Mg(CoO$_{2}$)$_{2}$,1.4899999999999998,eV,,,,,,,
YMoO$_{3}$,2.7288999999999994,eV,,,,,,,
ZnFeO$_{3}$,0.06780000000000008,eV,,,,,,,
MgCuF$_{5}$,0,eV,,,,,,,
CaCoF$_{5}$,2.0406,eV,,,,,,,
CaMoF$_{5}$,3.7401999999999997,eV,,,,,,,
WF$_{5}$,3.1906000000000003,eV,,,,,,,
CaCrF$_{5}$,2.858,eV,,,,,,,
MgTiF$_{4}$,0.18299999999999983,eV,,,,,,,
CaSnF$_{4}$,3.5672,eV,,,,,,,
ZnCuF$_{4}$,0.0017000000000000348,eV,,,,,,,
Y$_{2}$Bi$_{2}$O$_{7}$,1.4523000000000001,eV,,,,,,,
Y$_{2}$Sb$_{2}$O$_{7}$,1.0308000000000002,eV,,,,,,,
MgSnF$_{4}$,3.8776,eV,,,,,,,
Zn$_{3}$Sb$_{2}$O$_{7}$,0.023600000000000065,eV,,,,,,,
Mg$_{2}$Nb$_{2}$CuO$_{8}$,0.22509999999999986,eV,,,,,,,
Ca$_{3}$Sn$_{2}$O$_{7}$,2.9614,eV,,,,,,,
Ca$_{3}$Sb$_{2}$O$_{7}$,0.19540000000000024,eV,,,,,,,
CaBiF$_{5}$,4.2211,eV,,,,,,,
ZnCrF$_{5}$,2.8762,eV,,,,,,,
CrF$_{5}$,1.1817000000000002,eV,,,,,,,
Zn$_{2}$Fe$_{3}$O$_{8}$,1.2679,eV,,,,,,,
MoF$_{5}$,2.0994,eV,,,,,,,
CaWF$_{5}$,3.4857,eV,,,,,,,
Zn$_{2}$Mo$_{3}$O$_{8}$,1.0863,eV,,,,,,,
Ba$_{2}$Ni$_{3}$O$_{7}$,0,eV,,,,,,,
MgMoF$_{5}$,3.7721,eV,,,,,,,
V$_{3}$Zn$_{2}$O$_{8}$,1.2912,eV,,,,,,,
ZnFeF$_{5}$,3.0264,eV,,,,,,,
MgWF$_{5}$,3.3849,eV,,,,,,,
CaVF$_{5}$,2.2978,eV,,,,,,,
ZnWF$_{5}$,2.5517000000000003,eV,,,,,,,
MgMnF$_{5}$,1.609,eV,,,,,,,
CaFeF$_{4}$,3.6648000000000005,eV,,,,,,,
MgNiF$_{4}$,4.2164,eV,,,,,,,
MgCoF$_{4}$,3.8341000000000003,eV,,,,,,,
CaCoWO$_{6}$,0.4639,eV,,,,,,,
